,ISO score,GED score,IM score,ARI,GRI,PDT score,method,type,data,source
0,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,mean,UMI,dentate,dyno
1,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_mean,UMI,dentate,dyno
2,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,map,UMI,dentate,dyno
3,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_map,UMI,dentate,dyno
4,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,mean,UMI,dentate,dyno
5,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_mean,UMI,dentate,dyno
6,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,map,UMI,dentate,dyno
7,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_map,UMI,dentate,dyno
8,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,mean,UMI,dentate,dyno
9,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_mean,UMI,dentate,dyno
10,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,map,UMI,dentate,dyno
11,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_map,UMI,dentate,dyno
12,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,mean,UMI,dentate,dyno
13,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_mean,UMI,dentate,dyno
14,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,map,UMI,dentate,dyno
15,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_map,UMI,dentate,dyno
16,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,mean,UMI,dentate,dyno
17,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_mean,UMI,dentate,dyno
18,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,map,UMI,dentate,dyno
19,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_map,UMI,dentate,dyno
20,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,mean,UMI,immune,dyno
21,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,modified_mean,UMI,immune,dyno
22,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,map,UMI,immune,dyno
23,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,modified_map,UMI,immune,dyno
24,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,mean,UMI,immune,dyno
25,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,modified_mean,UMI,immune,dyno
26,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,map,UMI,immune,dyno
27,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,modified_map,UMI,immune,dyno
28,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,mean,UMI,immune,dyno
29,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,modified_mean,UMI,immune,dyno
30,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,map,UMI,immune,dyno
31,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,modified_map,UMI,immune,dyno
32,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,mean,UMI,immune,dyno
33,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,modified_mean,UMI,immune,dyno
34,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,map,UMI,immune,dyno
35,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,modified_map,UMI,immune,dyno
36,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,mean,UMI,immune,dyno
37,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,modified_mean,UMI,immune,dyno
38,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,map,UMI,immune,dyno
39,0,0.0,0.0,0.8814849268904915,0.30796989880879233,,modified_map,UMI,immune,dyno
