,Unnamed: 0,data,method,ISO score,GED score,IM score,ARI,GRI,PDT score,type,source
0,0.0,dentate,map,0.0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,UMI,dyno
1,1.0,dentate,mean,0.0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,UMI,dyno
2,2.0,dentate,modified_map,0.0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,UMI,dyno
3,3.0,dentate,modified_mean,0.0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,UMI,dyno
4,4.0,immune,map,0.0,0.0,0.0,0.8814849268904915,0.3079698988087923,,UMI,dyno
5,5.0,immune,mean,0.0,0.0,0.0,0.8814849268904915,0.3079698988087923,,UMI,dyno
6,6.0,immune,modified_map,0.0,0.0,0.0,0.8814849268904915,0.3079698988087923,,UMI,dyno
7,7.0,immune,modified_mean,0.0,0.0,0.0,0.8814849268904915,0.3079698988087923,,UMI,dyno
8,8.0,planaria_muscle,map,0.0,0.6666666666666667,0.9999999999999944,0.5,0.2619454846989079,0.0718019113724936,UMI,dyno
9,9.0,planaria_muscle,mean,0.0,0.6666666666666667,0.9999999999999944,0.5,0.2619454846989079,0.0718019113724936,UMI,dyno
10,10.0,planaria_muscle,modified_map,0.0,0.6666666666666667,0.9999999999999944,0.5,0.2619454846989079,0.0718019113724936,UMI,dyno
11,11.0,planaria_muscle,modified_mean,0.0,0.6666666666666667,0.9999999999999944,0.5,0.2619454846989079,0.0718019113724936,UMI,dyno
12,,aging,mean,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
13,,aging,modified_mean,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
14,,aging,map,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
15,,aging,modified_map,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
16,,aging,mean,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
17,,aging,modified_mean,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
18,,aging,map,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
19,,aging,modified_map,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
20,,aging,mean,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
21,,aging,modified_mean,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
22,,aging,map,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
23,,aging,modified_map,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
24,,aging,mean,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
25,,aging,modified_mean,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
26,,aging,map,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
27,,aging,modified_map,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
28,,aging,mean,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
29,,aging,modified_mean,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
30,,aging,map,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
31,,aging,modified_map,0.0,0.6666666666666667,0.9999999999999942,0.5,0.4337075311422086,0.07875336142160955,non-UMI,dyno
32,,cell_cycle,mean,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
33,,cell_cycle,modified_mean,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
34,,cell_cycle,map,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
35,,cell_cycle,modified_map,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
36,,cell_cycle,mean,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
37,,cell_cycle,modified_mean,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
38,,cell_cycle,map,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
39,,cell_cycle,modified_map,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
40,,cell_cycle,mean,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
41,,cell_cycle,modified_mean,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
42,,cell_cycle,map,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
43,,cell_cycle,modified_map,0.0,0.33333333333333337,0.011110411118732788,0.5,0.19704508604246812,,non-UMI,dyno
