,Unnamed: 0,data,method,ISO score,GED score,IM score,ARI,GRI,PDT score,type,source
0,0.0,aging,map,0.0,0.6666666666666667,0.9999999999999944,0.5,0.4337075311422086,0.0787533614216095,non-UMI,dyno
1,1.0,aging,mean,0.0,0.6666666666666667,0.9999999999999944,0.5,0.4337075311422086,0.0787533614216095,non-UMI,dyno
2,2.0,aging,modified_map,0.0,0.6666666666666667,0.9999999999999944,0.5,0.4337075311422086,0.0787533614216095,non-UMI,dyno
3,3.0,aging,modified_mean,0.0,0.6666666666666667,0.9999999999999944,0.5,0.4337075311422086,0.0787533614216095,non-UMI,dyno
4,4.0,bifurcating_1,map,0.0,0.0,0.0,0.5741386885721304,-0.0691134977674343,0.2001651550610116,non-UMI,dyngen
5,5.0,bifurcating_1,mean,0.0,0.0,0.0,0.5741386885721304,-0.0691134977674343,0.2001651550610116,non-UMI,dyngen
6,6.0,bifurcating_1,modified_map,0.0,0.0,0.0,0.5741386885721304,-0.0691134977674343,0.2001651550610116,non-UMI,dyngen
7,7.0,bifurcating_1,modified_mean,0.0,0.0,0.0,0.5741386885721304,-0.0691134977674343,0.2001651550610116,non-UMI,dyngen
8,8.0,bifurcating_2,map,0.0,0.0,0.0,0.6430747413485085,0.1403433322897265,0.2831685659327946,non-UMI,dyngen
9,9.0,bifurcating_2,mean,0.0,0.0,0.0,0.6430747413485085,0.1403433322897265,0.2831685659327946,non-UMI,dyngen
10,10.0,bifurcating_2,modified_map,0.0,0.0,0.0,0.6430747413485085,0.1403433322897265,0.2831685659327946,non-UMI,dyngen
11,11.0,bifurcating_2,modified_mean,0.0,0.0,0.0,0.6430747413485085,0.1403433322897265,0.2831685659327946,non-UMI,dyngen
12,12.0,bifurcating_3,map,0.0,0.0,0.0,0.622402368854684,0.3072425099256158,0.442020707932152,non-UMI,dyngen
13,13.0,bifurcating_3,mean,0.0,0.0,0.0,0.622402368854684,0.3072425099256158,0.442020707932152,non-UMI,dyngen
14,14.0,bifurcating_3,modified_map,0.0,0.0,0.0,0.622402368854684,0.3072425099256158,0.442020707932152,non-UMI,dyngen
15,15.0,bifurcating_3,modified_mean,0.0,0.0,0.0,0.622402368854684,0.3072425099256158,0.442020707932152,non-UMI,dyngen
16,16.0,bifurcation,map,0.0,0.0,0.1174179361001971,0.5,0.3939582080541413,0.5312634425219572,UMI,our model
17,17.0,bifurcation,mean,0.0,0.0,0.1174179361001971,0.5,0.3939582080541413,0.5312634425219572,UMI,our model
18,18.0,bifurcation,modified_map,0.0,0.0,0.1174179361001971,0.5,0.3939582080541413,0.5312634425219572,UMI,our model
19,19.0,bifurcation,modified_mean,0.0,0.0,0.1174179361001971,0.5,0.3939582080541413,0.5312634425219572,UMI,our model
20,20.0,cell_cycle,map,0.0,0.3333333333333333,0.0111104111187327,0.5,0.1970450860424681,,non-UMI,dyno
21,21.0,cell_cycle,mean,0.0,0.3333333333333333,0.0111104111187327,0.5,0.1970450860424681,,non-UMI,dyno
22,22.0,cell_cycle,modified_map,0.0,0.3333333333333333,0.0111104111187327,0.5,0.1970450860424681,,non-UMI,dyno
23,23.0,cell_cycle,modified_mean,0.0,0.3333333333333333,0.0111104111187327,0.5,0.1970450860424681,,non-UMI,dyno
24,24.0,converging_1,map,0.0,0.5,0.0,0.5404487675816478,0.3951090354887168,0.4175694687518231,non-UMI,dyngen
25,25.0,converging_1,mean,0.0,0.5,0.0,0.5404487675816478,0.3951090354887168,0.4175694687518231,non-UMI,dyngen
26,26.0,converging_1,modified_map,0.0,0.5,0.0,0.5404487675816478,0.3951090354887168,0.4175694687518231,non-UMI,dyngen
27,27.0,converging_1,modified_mean,0.0,0.5,0.0,0.5404487675816478,0.3951090354887168,0.4175694687518231,non-UMI,dyngen
28,28.0,cycle_1,map,0.0,0.3333333333333333,0.0111104111187327,0.5,0.6142772296942044,,non-UMI,dyngen
29,29.0,cycle_1,mean,0.0,0.3333333333333333,0.0111104111187327,0.5,0.6142772296942044,,non-UMI,dyngen
30,30.0,cycle_1,modified_map,0.0,0.3333333333333333,0.0111104111187327,0.5,0.6142772296942044,,non-UMI,dyngen
31,31.0,cycle_1,modified_mean,0.0,0.3333333333333333,0.0111104111187327,0.5,0.6142772296942044,,non-UMI,dyngen
32,32.0,cycle_2,map,0.0,0.3333333333333333,0.0111104111187327,0.5,0.4550828033727861,,non-UMI,dyngen
33,33.0,cycle_2,mean,0.0,0.3333333333333333,0.0111104111187327,0.5,0.4550828033727861,,non-UMI,dyngen
34,34.0,cycle_2,modified_map,0.0,0.3333333333333333,0.0111104111187327,0.5,0.4550828033727861,,non-UMI,dyngen
35,35.0,cycle_2,modified_mean,0.0,0.3333333333333333,0.0111104111187327,0.5,0.4550828033727861,,non-UMI,dyngen
36,36.0,cycle_3,map,0.0,0.3333333333333333,0.0111104111187327,0.6346883552775159,0.075863370619101,,non-UMI,dyngen
37,37.0,cycle_3,mean,0.0,0.3333333333333333,0.0111104111187327,0.6346883552775159,0.075863370619101,,non-UMI,dyngen
38,38.0,cycle_3,modified_map,0.0,0.3333333333333333,0.0111104111187327,0.6346883552775159,0.075863370619101,,non-UMI,dyngen
39,39.0,cycle_3,modified_mean,0.0,0.3333333333333333,0.0111104111187327,0.6346883552775159,0.075863370619101,,non-UMI,dyngen
40,40.0,dentate,map,0.0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,UMI,dyno
41,41.0,dentate,mean,0.0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,UMI,dyno
