,ISO score,GED score,IM score,ARI,GRI,PDT score,method,type,data,source
0,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,mean,UMI,dentate,dyno
1,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_mean,UMI,dentate,dyno
2,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,map,UMI,dentate,dyno
3,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_map,UMI,dentate,dyno
4,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,mean,UMI,dentate,dyno
5,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_mean,UMI,dentate,dyno
6,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,map,UMI,dentate,dyno
7,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_map,UMI,dentate,dyno
8,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,mean,UMI,dentate,dyno
9,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_mean,UMI,dentate,dyno
10,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,map,UMI,dentate,dyno
11,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_map,UMI,dentate,dyno
12,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,mean,UMI,dentate,dyno
13,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_mean,UMI,dentate,dyno
14,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,map,UMI,dentate,dyno
15,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_map,UMI,dentate,dyno
16,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,mean,UMI,dentate,dyno
17,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_mean,UMI,dentate,dyno
18,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,map,UMI,dentate,dyno
19,0,0.4,0.3491108916276566,0.6710766633593449,0.3048195662372631,0.6380674657637522,modified_map,UMI,dentate,dyno
